,features,shapley_values
0,DBF4|10926,0.0010012360225325869
1,DACH1|1602,0.0021305858388630974
2,BBS4|585,0.0008972345436350951
3,L3MBTL4|91133,0.001358405051539315
4,TK1|7083,0.0011081452584795234
5,KIAA1370|56204,0.0010344877803012548
6,GPD1L|23171,0.0009522200735282876
7,RERG|85004,0.001132871118513844
8,RAPGEF3|10411,0.000995394296944382
9,FBXO36|130888,0.0009324839722020639
10,LHFP|10186,0.0009980211365795786
11,PRRT3|285368,0.0010610813566333548
12,CDC123|8872,0.0008329439484226408
13,ZBTB4|57659,0.0008873732025300852
14,LPIN1|23175,0.0010094537354125288
15,CLSTN2|64084,0.0021870373382933445
16,CALCOCO1|57658,0.0009298340000886005
17,INPP4B|8821,0.0014961581815017115
18,CCDC82|79780,0.0007927755989458116
19,TLE3|7090,0.0008478595655994085
20,C16orf71|146562,0.001160206703473716
21,MICALL1|85377,0.0010059750622889666
22,INPP5J|27124,0.0016231168776214872
23,HDGF|3068,0.0006831078171856708
24,TMEM206|55248,0.0008027567666451422
25,RABEP1|9135,0.001018812717193882
26,C10orf32|119032,0.0009343288537835899
27,STARD10|10809,0.0010351986367363834
28,DNAJC12|56521,0.0019646375591970953
29,CELSR1|9620,0.0010087157148484219
30,ACOT4|122970,0.0011109872633884058
31,PGPEP1|54858,0.0011261075962443199
32,KCMF1|56888,0.0008742956810109691
33,WDR19|57728,0.0007384164447520942
34,C6orf211|79624,0.00110467209378997
35,PHGDH|26227,0.0011141604700915942
36,BCAM|4059,0.0011145971419877808
37,POP1|10940,0.0010440707377346444
38,CIT|11113,0.001066089587558815
39,FGD3|89846,0.0018147724488338148
40,ZNF763|284390,0.0008655788773491204
41,LMX1B|4010,0.0013104138584260363
42,TRIM3|10612,0.0009458436516330603
43,MFGE8|4240,0.001117685361486511
44,FAM63A|55793,0.0009397036037750546
45,SLC43A3|29015,0.0007865647440750842
46,PDP1|54704,0.0010307811053879633
47,TYW1|55253,0.0008987606787890232
48,ZBTB44|29068,0.000833729180821965
49,IRX3|79191,0.0009431614231433803
50,NAPB|63908,0.0010041671091079458
51,OPHN1|4983,0.0008488880460858243
52,C16orf42|115939,0.0010721713899184563
53,PFAS|5198,0.0009374232347952672
54,C15orf61|145853,0.0007561295163564224
55,MORF4L1|10933,0.0008889146677927632
56,DIAPH1|1729,0.0008407056964010448
57,AP3M2|10947,0.0006831797958491672
58,ZNF347|84671,0.0008485174222458449
59,RBP1|5947,0.001150948713488194
60,ICK|22858,0.000727591598810959
61,DHRS4|10901,0.0008378054251007837
62,MEX3C|51320,0.0009683600526693603
63,NT5DC1|221294,0.0009056292108157508
64,SNX4|8723,0.0009493003187843474
65,GPC1|2817,0.0009254148657240992
66,C14orf118|55668,0.0008755821395371351
67,FTL|2512,0.0007008091099653595
68,RGS4|5999,0.0010286779131764108
69,C15orf40|123207,0.00077913704558285
70,GGTLC2|91227,0.001034809290468693
71,ZNF384|171017,0.0009417178558181459
72,ZBTB10|65986,0.0007901525652995276
73,ASCC2|84164,0.0006299288249695051
74,BRAP|8315,0.0008098014651793323
75,CYB561D1|284613,0.000837977650704112
76,COX7A2L|9167,0.0009500288742667576
77,GFPT2|9945,0.000943576080722906
78,NNT|23530,0.0008866988154777728
79,FAM21C|253725,0.0008676441232924146
80,RUNDC2C|440352,0.0007412270252207401
81,PSMD13|5719,0.000828295102911664
82,PRF1|5551,0.001007320476591706
83,ITGB3BP|23421,0.0008814487417135382
84,ATP6V1D|51382,0.0007539721501049734
85,PPFIBP2|8495,0.0008354626329400117
86,UGGT1|56886,0.0007833113528719726
87,SP110|3431,0.0009000014595736332
88,FAM53C|51307,0.0009175487910024802
89,MTMR4|9110,0.000932215689241895
90,TRIM22|10346,0.0007892789456412699
91,UBE4B|10277,0.0008858579371202819
92,ZNF383|163087,0.0007068115207008528
93,PQLC3|130814,0.0007886035081217474
94,TMCO6|55374,0.0007269530981830649
95,UTP20|27340,0.0009551379613799546
96,SNX15|29907,0.0008756289207744864
97,LTBP1|4052,0.0008703531222113005
98,TMEM187|8269,0.000904005658575652
99,MMP15|4324,0.0010953264179429214
100,DENND1C|79958,0.0007307328142683579
101,C3orf62|375341,0.0008881287356297973
102,RIOK3|8780,0.0009326023755051394
103,BPTF|2186,0.0008553679485244201
104,GPSM1|26086,0.0009175356358431363
105,SELS|55829,0.0008443549984134309
106,MAMSTR|284358,0.000952414605242459
107,ING5|84289,0.0007530789532514471
108,ATXN7L3B|552889,0.0007812364456277053
109,ZBTB2|57621,0.0008002120766315609
110,PPME1|51400,0.0008667999116710296
111,DNAJC21|134218,0.0008650574324917837
112,RPS11|6205,0.0010301747456869755
113,DNAJC13|23317,0.0010121424217324551
114,ZNF576|79177,0.0008329618862044001
115,SAR1A|56681,0.0008626221906535437
116,HSP90AB2P|391634,0.0009968622521439778
117,STARD4|134429,0.0007547817672109576
118,FLJ42627|645644,0.0010110452387266456
119,CAPN12|147968,0.0008127704915600576
120,ZMAT3|64393,0.0009437608807822135
121,FAM50B|26240,0.0007735091086087546
122,SLC38A10|124565,0.0008882927917549754
123,UNC13B|10497,0.0007554534381465572
124,LOC651250|651250,0.0008912602653404556
125,PPP2R5A|5525,0.0008835418588116057
126,EFHD2|79180,0.0009421416201985985
127,CCDC101|112869,0.0008167426505441686
128,MIER2|54531,0.0008403181094969981
129,ANP32A|8125,0.0008456166328006122
130,NOM1|64434,0.000994833387700665
131,CMPK2|129607,0.0009522750292300104
132,COPG2|26958,0.0006270989123970384
133,TCFL5|10732,0.000765149323332649
134,UAP1|6675,0.0009924697547157863
135,RGS3|5998,0.0009284758341445092
136,NCRNA00115|79854,0.0007909179012426361
137,GLIS2|84662,0.001009163471893886
138,NDUFA6|4700,0.0008857562121416366
139,FAM53A|152877,0.0008973981987329606
140,HES1|3280,0.0008854561794192226
141,JRK|8629,0.0009331114436101086
142,ARL6IP6|151188,0.0010401083169904474
143,CROCCL1|84809,0.000915360992890396
144,GXYLT1|283464,0.0009030763790289681
145,CCDC102B|79839,0.0008088104673446201
146,RTEL1|51750,0.0007441283349440541
147,FOXO3|2309,0.0007588710684676516
148,NUP43|348995,0.0007684365314260121
149,ZNF517|340385,0.0009324571193352793
150,RRP7B|91695,0.000956131695969936
151,TCIRG1|10312,0.0009612639565288689
152,PLBD1|79887,0.0008171158320308461
153,FGD6|55785,0.0010847797383729202
154,KCTD15|79047,0.0008069603441950397
155,RAB3GAP1|22930,0.0008974002671667451
156,NFKB1|4790,0.0007253073944750361
157,CTSA|5476,0.0009409760283361451
158,VSIG10|54621,0.0008430012963731194
159,HMBOX1|79618,0.00097701932219399
160,CDK5RAP1|51654,0.0008589010744529404
161,MAPKAPK3|7867,0.0008322905610334687
162,MTA1|9112,0.0008516132990621256
163,BRD9|65980,0.0008334988420875412
164,C5orf25|375484,0.0009326235204021711
165,SLC38A2|54407,0.0009168214817115381
166,LOC730101|730101,0.0007882620701653213
167,DLG1|1739,0.0008532446805350005
168,CREBBP|1387,0.0008160722668144211
169,ZFP112|7771,0.0008200160675040449
170,CERK|64781,0.0008542191117383237
171,ASAP1|50807,0.0008291266703112215
172,INPPL1|3636,0.0009348277218197183
173,HSDL1|83693,0.0009921087360497656
174,CAMKK2|10645,0.0008199281064170583
175,GIPC3|126326,0.000847142105308731
176,ATP6V1A|523,0.0007917046838984557
177,A4GALT|53947,0.000931794471387757
178,IWS1|55677,0.0007552338325533849
179,SECTM1|6398,0.0009561036505637113
180,C14orf1|11161,0.0007514509882683973
181,MLLT3|4300,0.000776979567900974
182,SUPT7L|9913,0.0008618049805754178
183,RSRC1|51319,0.0009534977406444928
184,SDHAP3|728609,0.0008804301697555455
185,LAMP2|3920,0.000990003877896507
186,DSCR3|10311,0.0007141089433276694
187,SLC43A1|8501,0.0008402048991671021
188,HGSNAT|138050,0.0008924462507708076
189,CNOT2|4848,0.0008298767232852839
190,ZNF682|91120,0.0009592350210304992
191,C2orf7|84279,0.0008075936635944985
192,DDX59|83479,0.0008134595568987965
193,HOPX|84525,0.0008358258356963742
194,POU2F2|5452,0.0009926218528363171
195,CCDC34|91057,0.0007509389727552188
196,POLR3F|10621,0.0008894419248925893
197,ADAMTS4|9507,0.000884121089166146
198,LMCD1|29995,0.0009617592970637837
199,DIS3L2|129563,0.0007878835805712937
200,MUT|4594,0.0008674696841840026
201,PARG|8505,0.0008501770010970312
202,ZNF322A|79692,0.0007611700013262238
203,ANKRD10|55608,0.0008258019759386373
204,TERF2|7014,0.0007740024345118851
205,NIPAL3|57185,0.0008002770402391851
206,UBR5|51366,0.000687316339022488
207,SEPT2|4735,0.0009140701619847528
208,DNAJC7|7266,0.0008303006439845234
209,ACY1|95,0.0008477293424718642
210,GPR4|2828,0.0009836988106326863
211,DPAGT1|1798,0.0009314505482085529
212,ALG8|79053,0.0009339480141634085
213,EML1|2009,0.0007052913008979072
214,POFUT1|23509,0.0009667349834508465
215,NFASC|23114,0.0011201614401881031
216,USP51|158880,0.0010326703092775262
217,TNFAIP8L1|126282,0.0008135142161453104
218,TRMT5|57570,0.0010011500911318208
219,ECH1|1891,0.0007226804352799908
220,SGPP1|81537,0.0008124319350748955
221,CEP250|11190,0.0009727888269352239
222,DIO2|1734,0.0011459406868900583
223,RABGGTB|5876,0.0009156314111675647
224,KIAA0226|9711,0.0008862338924667862
225,ZNF354A|6940,0.0008737826313320853
226,BRF2|55290,0.0010221296677802533
227,LOC100130776|100130776,0.0009294989375325161
228,NOL6|65083,0.0008172318578463141
229,BRPF1|7862,0.0008111554123101437
230,COX16|51241,0.0008064791268877732
231,ZNF616|90317,0.0008802600871437513
232,FLCN|201163,0.0010080129463663737
233,GPN2|54707,0.0009166852381551794
234,C9orf3|84909,0.0009155225058609934
235,MPP1|4354,0.0009913925073106703
236,ZNF268|10795,0.0008480883398803967
237,CD24|100133941,0.0011616860139209968
238,FAM167B|84734,0.0010398907467122171
239,LOC25845|25845,0.0009003345637243914
240,ANKRD13B|124930,0.0008351297034177913
241,PCDHB16|57717,0.0008717699534322077
242,SLC24A3|57419,0.0011854660039113747
243,ZNF197|10168,0.0008881377885670196
244,PTHLH|5744,0.0015860084070955375
245,SGSM3|27352,0.0009752386109132538
246,ACSS1|84532,0.0008156694350270474
247,ZNF155|7711,0.0008667495085111553
248,KIAA0368|23392,0.0008506583300154961
249,ACTR5|79913,0.0009077055439650184
250,ARF4|378,0.0007349713144580989
251,CYB5R4|51167,0.000985633325965006
252,TRIM5|85363,0.0007863807930894896
253,MGC57346|401884,0.0008336871238300202
254,GRIPAP1|56850,0.001030549914513426
255,ALDH5A1|7915,0.000917946030234855
256,C6orf48|50854,0.0008091401501462471
257,OXA1L|5018,0.0008675375464920585
258,NCOR2|9612,0.0007043809205266537
259,KBTBD11|9920,0.000853415690443249
260,ZNF710|374655,0.000723653150807587
261,RAB20|55647,0.0008941903542753654
262,ATP5O|539,0.0009493492406625898
263,NDUFB5|4711,0.0009937190466781367
264,PHRF1|57661,0.0009485450091637256
265,MAPK1IP1L|93487,0.0008467232879945623
266,NAA40|79829,0.0007775465572720271
267,ISG20|3669,0.0008372965542866494
268,CXCR4|7852,0.0009224401888108264
269,RAPGEF5|9771,0.0009428667627073626
270,INTS3|65123,0.0008780618926022811
271,SLC17A9|63910,0.0011916607832929233
272,RAD23A|5886,0.0008972513218048053
273,ASTE1|28990,0.0010663678233497776
274,C10orf88|80007,0.0009938543772711106
275,ITGA2|3673,0.0010001748754430565
276,RAB18|22931,0.0010728665581931527
277,PPFIA3|8541,0.0009976500964127477
278,HLA-C|3107,0.0008169992599142246
279,SFRS14|10147,0.0008622896162626134
280,GEMIN5|25929,0.0008015042414961694
281,LSM5|23658,0.0007902723909371566
282,CDH11|1009,0.0009336138073842383
283,TRAPPC1|58485,0.0008019918482002103
284,FAM108B1|51104,0.0009964009642441391
285,TATDN3|128387,0.0007674381763621306
286,HNRNPA3|220988,0.0008179729046613986
287,ZDHHC4|55146,0.000897513946052403
288,POM121|9883,0.0009198600136609576
289,LRRN1|57633,0.0017565345826960925
290,GOPC|57120,0.0007958153526423658
291,CAMK1D|57118,0.0010437772452757804
292,CEPT1|10390,0.0009318806359732063
293,SLC38A9|153129,0.0007180854726753299
294,ATXN10|25814,0.0009707420403154271
295,SS18L1|26039,0.000892589716529491
296,ELFN1|392617,0.0009875060311513766
297,HNRPLL|92906,0.0008792145808515742
298,DDX46|9879,0.0009545416294213841
299,CARD16|114769,0.0008148470353355145
300,C20orf54|113278,0.0010827905711806053
301,SHOX2|6474,0.0009630690700929866
302,RALBP1|10928,0.0010007371329791574
303,CDYL|9425,0.0008669221507733854
304,NRP2|8828,0.0008607320739190648
305,TUBA1A|7846,0.0008332961819400274
306,HOXB6|3216,0.0011282532720345822
307,KCNQ1|3784,0.0009052642377011622
308,B9D1|27077,0.0008701550595946721
309,TSPAN12|23554,0.0009814611871425873
310,PIGZ|80235,0.0007763260276184478
311,C5orf33|133686,0.0007132030460842175
312,TBP|6908,0.0007011605057204602
313,AGPHD1|123688,0.0008307721873781939
314,RSL24D1|51187,0.0007620332501887441
315,NOL9|79707,0.0009346906613830648
316,STK35|140901,0.0009775306162931132
317,C5orf39|389289,0.000999843981328956
318,ZFP161|7541,0.0007256428460882331
319,SLC29A1|2030,0.001058783321939493
320,PPP2R3B|28227,0.0009580689756552913
321,SNTA1|6640,0.0008561420969221939
322,MTCP1NB|100272147,0.0008169324388836508
323,PRKRIR|5612,0.0007768990992721603
324,AVL9|23080,0.0009313858181926744
325,UBL7|84993,0.0009608505457762869
326,TAF1C|9013,0.0007947902541689661
327,ZNF750|79755,0.0013945597255281567
328,WBP11P1|441818,0.0008966390442886313
329,TTC27|55622,0.0007723273794432085
330,LYRM5|144363,0.0007629163897821961
331,ZNF137|7696,0.0009334070078813315
332,ANKRD52|283373,0.0009636927486255728
333,TBC1D10A|83874,0.0007810084255505507
334,UBAC2|337867,0.0006845778924074662
335,RCE1|9986,0.0007767323579018772
336,UBTD2|92181,0.000836979276740559
337,ZNF574|64763,0.0009295807606117433
338,RAF1|5894,0.0008823932607618212
339,UQCRC2|7385,0.0007279190803678893
340,ENTPD6|955,0.0009411550461686004
341,DEAF1|10522,0.0008194752274715372
342,TIRAP|114609,0.0008537526134865979
343,ATG4A|115201,0.0007531765144237906
344,RNF144B|255488,0.000980710479414291
345,AP4E1|23431,0.0007725620105322224
346,MED19|219541,0.0007503642344739391
347,TNIK|23043,0.0010089965735570632
348,MBD1|4152,0.0009300400940629599
349,TMTC4|84899,0.0007731844719133596
350,MFN2|9927,0.0008604535790486533
351,TRIM38|10475,0.0009573036122366794
352,TNKS1BP1|85456,0.0009863341237780336
353,MAK16|84549,0.0011780327310281803
354,SV2A|9900,0.0007694007560771973
355,PCYT2|5833,0.0007382974457701473
356,INF2|64423,0.0007683645147496628
357,AP3D1|8943,0.0007769749220033368
358,DNAJC24|120526,0.0007976470641060102
359,ACAP3|116983,0.0008500192359150824
360,DSG2|1829,0.0008496608696987191
361,PIK3C3|5289,0.0007872168579077599
362,SERGEF|26297,0.000880655778021036
363,AEN|64782,0.0007586302155715286
364,LITAF|9516,0.0007730148368656003
365,SPATS2L|26010,0.0007714571039350073
366,ANKRD37|353322,0.0008962203684455024
367,HPS4|89781,0.0008351477516322458
368,NARS|4677,0.0006824528649031518
369,COPS7A|50813,0.000998995288946948
370,GADD45B|4616,0.0008946659254965411
371,ZFP1|162239,0.0008147889940568787
372,FGFRL1|53834,0.0008562360280574886
373,C7orf55|154791,0.0008956177425719414
374,C19orf57|79173,0.0010747298346354159
375,LLPH|84298,0.0007969453689653015
376,HHIPL1|84439,0.0008529164078077409
377,FBXW8|26259,0.0007887300933167901
378,SHISA2|387914,0.0016104685526489146
379,GOLGA7|51125,0.000816244229336128
380,SMARCE1|6605,0.0008142990586743173
381,HSPA6|3310,0.0009278727826675301
382,BCR|613,0.0008232853172812312
383,CCR1|1230,0.0011002681196479187
384,NLGN2|57555,0.0008010415955236794
385,ALS2|57679,0.0008782481501813388
386,MFSD6|54842,0.0008097695305820604
387,C8orf42|157695,0.001028053066409468
388,LAMB1|3912,0.0007895371061854244
389,EFR3B|22979,0.0007310022125985902
390,GCHFR|2644,0.00098912155030033
391,LOC149837|149837,0.0008577234923563753
392,RANBP10|57610,0.0008725659812218418
393,KCTD11|147040,0.0008027989131915629
394,IL18|3606,0.0008823676805154712
395,NMNAT1|64802,0.0009309134022397833
396,BST2|684,0.0008301178232500899
397,RDH11|51109,0.0008976774779874393
398,IRF5|3663,0.0007481779178912388
399,ALDH9A1|223,0.0008553314190135017
400,C1orf216|127703,0.0009118501515239278
401,RPL17|6139,0.0009539410860154069
402,EPHX1|2052,0.0007947719640996363
403,NME6|10201,0.0007363808790755368
404,PRPF40B|25766,0.0007585256971138704
405,TRIM9|114088,0.0009278743887543197
406,PITPNM1|9600,0.0008768264783368597
407,LOC146880|146880,0.0007241329830544667
408,RPS6KC1|26750,0.0008041829997328953
409,APOC1|341,0.001004065212884144
410,RNF216|54476,0.0008415446326379845
411,ADAMTS7|11173,0.0009066784541653231
412,FAM164A|51101,0.0009986830976653057
413,ATXN1|6310,0.0010306873657415128
414,CD2AP|23607,0.000870658422585436
415,ACOT11|26027,0.0008963950859919947
416,MAT2A|4144,0.0008080185185948195
417,CXorf26|51260,0.0007896869617008312
418,ARL2BP|23568,0.0008989386261456179
419,ATP5H|10476,0.0009594966958239833
420,B3GALT4|8705,0.000850017990207727
421,MRPS28|28957,0.000775058376413179
422,TRNAU1AP|54952,0.0006901545617228201
423,DUSP14|11072,0.0008870482773195033
424,TUBGCP5|114791,0.000896103336680571
425,ATP10D|57205,0.0008800020423766141
426,GPX4|2879,0.0007422013687135205
427,ERCC8|1161,0.0007791335532068401
428,CAPN1|823,0.0007138604086948931
429,GSDMB|55876,0.0012239452516738867
430,C4orf32|132720,0.0010613548504718037
431,C14orf45|80127,0.0009284855115301003
432,TMCC2|9911,0.0012745185822467659
433,NDRG2|57447,0.0010207690454971867
434,RAI2|10742,0.001336928766779173
435,FSCN1|6624,0.0011401243880129158
436,NCAPD2|9918,0.0010508932930512367
437,LRIG1|26018,0.0010863683979521538
438,MCM6|4175,0.0011831055185253783
439,LDHB|3945,0.0010114991678917492
440,RHOB|388,0.0008814003691793258
441,RNASE4|6038,0.0009487006031026485
442,SPEF2|79925,0.0008119507197163109
443,CACNA2D2|9254,0.0015843162324055329
444,TINAGL1|64129,0.001555652024412765
445,P4HTM|54681,0.0011207309253077721
446,ATP8B1|5205,0.0009599301203269544
447,ZNF467|168544,0.0011357249235456682
448,TMBIM6|7009,0.0007803258234634306
449,PLOD1|5351,0.000836186474524876
450,CHST2|9435,0.0009370979625008714
451,MYB|4602,0.0014826578731138556
452,CSRP2|1466,0.0010643456571973694
453,WDR67|93594,0.000828586453205341
454,FAM102A|399665,0.001052580181497927
455,RALGPS2|55103,0.0012315888548788494
456,TUBB|203068,0.0007793338066972226
457,IVD|3712,0.0008569718614364453
458,NUDT12|83594,0.0009794625876992733
459,SLC4A8|9498,0.0013502648241137973
460,CYYR1|116159,0.0011271103339155115
461,WFS1|7466,0.0008432829472425855
462,CCT5|22948,0.0009246785216184884
463,TADA2B|93624,0.0008321940952751915
464,PREX1|57580,0.0011328269790349607
465,EVL|51466,0.0012561908120845152
466,LOC286367|286367,0.001216366047115778
467,CIRBP|1153,0.000872428977224613
468,TCF7L1|83439,0.0011644651658498468
469,MMP11|4320,0.001963879451843596
470,PCBD2|84105,0.0008098200561211651
471,PSMB2|5690,0.000874777670127388
472,PCNA|5111,0.0009965033526980476
473,YARS|8565,0.0009477543662326205
474,XPO5|57510,0.0009652714548291159
475,AMD1|262,0.0008343539006537386
476,PM20D2|135293,0.0011911285959587356
477,TP53INP1|94241,0.0010020895416231331
478,GNAI1|2770,0.0010860278941535952
479,WWP1|11059,0.0008333811667243742
480,CSDA|8531,0.0009987615010277103
481,FAM107A|11170,0.001771554282932924
482,KIAA0141|9812,0.0009473389857796229
483,MTHFD2|10797,0.0009860640787576992
484,LOC158376|158376,0.001211492336314039
485,ABLIM3|22885,0.0013384506463467913
486,TMBIM4|51643,0.0009497414118800709
487,EXOC6|54536,0.0007999815883006378
488,ANKRD42|338699,0.0008799677281634858
489,RIPK2|8767,0.0009363695326820595
490,RAD51C|5889,0.0009534645660058817
491,PEX3|8504,0.0006942209476024988
492,SLC16A13|201232,0.0009187406875894998
493,FASTKD2|22868,0.0006688836495580827
494,SLAIN2|57606,0.0008986346306039815
495,ATAD3C|219293,0.001198333437241704
496,ALDH7A1|501,0.0007464535740854519
497,XYLT1|64131,0.0009279846167046178
498,DOK3|79930,0.0009293428525660658
499,PHF21A|51317,0.0006508178649497827
500,PDLIM7|9260,0.0009405449548793147
501,PRRX2|51450,0.0009109216712497362
502,LOC100130015|100130015,0.0008060929916645593
503,SEMA4D|10507,0.0006303869052571413
504,MDK|4192,0.0008592586337559098
505,COG1|9382,0.0007919950553815266
506,CDR2|1039,0.0009216016077214482
507,NUFIP1|26747,0.0008455151613589511
508,PMS2L1|5379,0.000809290841451012
509,SERTAD1|29950,0.0010099307442825681
510,CTSB|1508,0.00071514524721077
511,TECPR1|25851,0.0008670605830934644
512,KIFAP3|22920,0.0007139648275803672
513,CPNE1|8904,0.0009333422423005396
514,SLC37A4|2542,0.000998888900989408
515,C2orf24|27013,0.0007829232362234283
516,BGLAP|632,0.0007620572720212332
517,MFSD11|79157,0.0007686242873154827
518,ACRC|93953,0.000854411707416102
519,RECQL5|9400,0.0007760589481886896
520,GALNT11|63917,0.0007373835269040615
521,CALM2|805,0.0008458799746796483
522,LRRC20|55222,0.000771837329090237
523,LOC400657|400657,0.0008635624360172872
524,S1PR5|53637,0.0010214712285651806
525,DAPP1|27071,0.0009838164896975885
526,PPHLN1|51535,0.0009221132275568221
527,USPL1|10208,0.0009577060545675586
528,LOC143666|143666,0.0008462362188287767
529,NUPL1|9818,0.0009282089561258866
530,LOC649330|649330,0.0007464641306069744
531,ZNF584|201514,0.0008675462026799864
532,MBTPS1|8720,0.000792054537306873
533,CEP135|9662,0.000755148232173791
534,SYMPK|8189,0.0009962206989362313
535,NDUFA10|4705,0.0008407059005613043
536,ZNF718|255403,0.0008358372276515265
537,EIF4A2|1974,0.0008112224379453946
538,CNN3|1266,0.000853691511433355
539,C14orf101|54916,0.0007906895788532011
540,RTP4|64108,0.0008700669580912667
541,OSBPL6|114880,0.0009383094143417179
542,HOMER1|9456,0.0008569065744110475
543,MRI1|84245,0.0008722526041936641
544,SARS2|54938,0.0008250534825771182
545,TBC1D24|57465,0.0009757336698562517
546,SNX30|401548,0.0007940255260708408
547,LOC723972|723972,0.0009580468242057765
548,FAIM3|9214,0.0010005040535981152
