features,aggregate
A4GALT|53947,0.005896526136783846
AADAT,0.006658366171660431
AAGAB,0.0026509822371590945
AAGAB|79719,0.0030912686689747444
AATK|9625,0.0050804278437719995
ABCA7,0.002305182175198978
ABCB6|10058,0.004596183972382364
ABCC10,0.0023176450153806617
ABCC4,0.00471056630939606
ABCC5,0.0017387030197156136
ABCC6P1,0.004276228322814426
ABHD13|84945,0.0028697404727649886
ABHD14B;ABHD14A,0.0023321917270679353
ABHD3|171586,0.00246186322086554
ABLIM3|22885,0.020835388097434487
ABO,0.006646556756272919
ABTB1;PODXL2,0.002067821500408233
ACACB|32,0.014977413509852534
ACADVL;DLG4,0.0036405386563959355
ACADVL;MIR324,0.005260137879507239
ACAP1,0.007500378818988382
ACAP3|116983,0.0037722948667688553
ACCN2,0.003613252035428639
ACOT11|26027,0.005962579339000134
ACOT2,0.003003997639778585
ACOT4|122970,0.009568775240410752
ACOX1;FBF1,0.027001283969698153
ACP6|51205,0.0030545928815436277
ACRC|93953,0.0030198699589039594
ACSM1,0.005553872598236557
ACSS1|84532,0.005508142205593521
ACTR1B|10120,0.002718237148499872
ACTR3,0.002505612569954267
ACTR3C|653857,0.0027588257492708766
ACTR5|79913,0.0029348846391425566
ACVR2B,0.0028444439327176985
ACY1|95,0.002605575854462641
ACYP1|97,0.0032418657743747623
ADAM22,0.002006800192676279
ADAMTS4|9507,0.003977054965046527
ADAMTS7|11173,0.00455512920170037
ADAMTS8,0.0030975725073607535
ADAT1,0.002253328660576569
ADH1B,0.01811464688068511
ADI1,0.0016571341634702289
ADM,0.001794485508012724
ADPRHL1|113622,0.0035618740783576195
ADRBK2,0.0014039095974977805
AEN|64782,0.002036937307495739
AFAP1;LOC84740,0.0041696821599156155
AFARP1;SLC16A1,0.0029798030428211265
AFF4,0.001968572862815839
AGPAT5|55326,0.0027067882233288623
AGPHD1|123688,0.0024337436352709126
AGRP,0.002351954445013583
AIFM2,0.0046822700905668245
AIMP1,0.0075076782801853205
AIMP1|9255,0.002381976726187913
AKAP11,0.0029272193912682383
AKR7A2,0.015671344693060276
AKR7A3,0.0056756084628281755
ALAD|210,0.003882907032934646
ALDH16A1;PIH1D1,0.0022715167672112003
ALDH5A1|7915,0.003462207568019782
ALDH7A1|501,0.0023714794489872286
ALDH9A1|223,0.002505770208535411
ALG11;UTP14C,0.004070121788678475
ALG2|85365,0.002944615816528896
ALG8|79053,0.0037317440620937407
ALG9|79796,0.0021284950284959554
ALKBH5,0.002482797153174096
ALS2|57679,0.002559979490773926
AMBN,0.004224471254953807
AMD1|262,0.005524604131196338
AMOT|154796,0.003588361302774663
AMPD1,0.016816241194326075
AMPD2,0.0029023309024177654
ANKDD1A,0.0028260793586671715
ANKRD10|55608,0.0032209623910796907
ANKRD13A,0.0026876120809559297
ANKRD13B|124930,0.0052458011570376654
ANKRD29|147463,0.019127352953564877
ANKRD36BL1,0.003167605545104555
ANKRD37|353322,0.0043457552906350245
ANKRD42|338699,0.0052358682962280806
ANKRD52|283373,0.002349794257791547
ANKRD54|129138,0.0018531488518603093
ANO10|55129,0.002816206255268152
ANP32A|8125,0.0020868184341721876
ANP32D,0.006399783075864022
ANXA2|302,0.0025913134985381973
ANXA8L2,0.015419388424094887
AOC2;AOC3,0.01102208543868168
AP1M1|8907,0.003317075921118712
AP3D1|8943,0.002323712048710219
AP3M2,0.0026785701431056384
AP3M2|10947,0.0028610974428454616
AP4B1|10717,0.0020781832309975557
AP4E1|23431,0.0030892748554237934
APBB2|323,0.005763255705675805
APEX1;OSGEP,0.001568157013533335
APH1B|83464,0.006741038741309475
APIP|51074,0.0026973837196960816
APLP1,0.002002261745723129
APLP2|334,0.002527067942673655
APOA1,0.004046544442110518
APOC1|341,0.007648878548802365
APOE,0.0037630968009207035
AQP6,0.0030965342550210717
ARF4|378,0.002076715575367521
ARFGAP2|84364,0.0027942060884080383
ARFRP1;ZGPAT,0.0030958824393934868
ARHGAP4,0.00761187461122404
ARHGEF1,0.004489396812749977
ARHGEF11|9826,0.0024915614639499572
ARIH2|10425,0.0014035852932526034
ARL2BP|23568,0.002205121711552231
ARL6IP1,0.00233863586231085
ARL6IP6|151188,0.002625392569362527
ARMCX3,0.005006976601267461
ARNT2,0.0030893879188092664
ARNT|405,0.002931521663964538
ARPC1A,0.0022083158954387563
ARPC4;TADA3,0.0025750035115247004
ARSK|153642,0.002638589223193645
ARV1,0.010039796755827654
ASAH2,0.00736612277047866
ASAP1|50807,0.003785715043597272
ASAP3|55616,0.00323483605927176
ASB16;C17orf65,0.0031106033745707078
ASCC2|84164,0.0017766386658649527
ASRGL1,0.002655345875608605
ASTE1|28990,0.002971684300713758
ATAD2B|54454,0.003318878205638933
ATAD3C|219293,0.015366012334743866
ATF1|466,0.001742505392957689
ATG4A|115201,0.0025674299786528276
ATP10D|57205,0.0028295211173753896
ATP1A3,0.0048339394661117184
ATP5B|506,0.0023439642681043
ATP5H|10476,0.0024277084336272034
ATP5O|539,0.003315468190023027
ATP6AP2|10159,0.0019060249302008702
ATP6V1A|523,0.0027566626147693123
ATP6V1D|51382,0.0024007047135182645
ATP7B|540,0.012957599386872184
ATP8B1|5205,0.005912204442632438
ATXN10|25814,0.003611404758775897
ATXN1|6310,0.0037314664363257656
ATXN2,0.003047685024479004
ATXN7L3B|552889,0.002459235946290843
AVL9|23080,0.0028860669705433883
AWAT1,0.0041851516153874535
AXIN1,0.0021262296930441528
B3GALT4|8705,0.005577857768512343
B3GNT4,0.003119505939040295
B4GALNT4,0.0030319528654235714
B9D1|27077,0.0025675945349956926
BACE1,0.002741031121488355
BASP1;LOC285696,0.0089942333568991
BAT4;CSNK2B,0.0016350689491292012
BAZ2A;RBMS2,0.009261315051866649
BBS4|585,0.004196796761455616
BBX,0.0020462091256710194
BCAM|4059,0.016595714136960905
BCAR1|9564,0.0031353341614456407
BCAS2|10286,0.0019319678805198746
BCORL1|63035,0.0036012235346488597
BCR|613,0.0023767380856070056
BDNF;BDNFOS,0.005747834448807556
BFSP1|631,0.004065469680615592
BGLAP|632,0.003371774683456395
BOC|91653,0.012473435848101882
BPESC1,0.005986142763881002
BPTF|2186,0.0032588822796187243
BRAP|8315,0.0021591572457995006
BRD9|65980,0.0023361273732307774
BRF2|55290,0.004252820672641693
BRPF1|7862,0.0026256002912182635
BSDC1|55108,0.003544923656449794
BST1,0.004711905932241132
BST2|684,0.004662492852886554
BTBD10|84280,0.00213092240645033
BTG2|7832,0.017086235341098828
BTK;TIMM8A,0.016591283468028635
BUB3,0.0026763355074763827
C10orf111;RPP38,0.0034136580954617314
C10orf113;NEBL,0.005505352806513911
C10orf116,0.008800473905336339
C10orf26|54838,0.0026561157122684904
C10orf2;MRPL43,0.003114768628968283
C10orf32|119032,0.0040536372038427705
C10orf41,0.014470948074119803
C10orf41;ZNF503,0.0021512889438910646
C10orf88|80007,0.0028324797717735424
C11orf1|64776,0.002567198268610061
C11orf70,0.0037395626373021526
C11orf94,0.003131584140230818
C12orf27,0.005708418629054697
C12orf41|54934,0.0019762184542776633
C12orf53,0.007388749946885459
C12orf5|57103,0.0032937751678773415
C12orf72|254013,0.003858318162764927
C12orf76,0.002281904307572959
C13orf1,0.0026763661724888083
C13orf29|283487,0.004436787698731521
C13orf31|144811,0.002988330332217547
C14orf101|54916,0.0024481847079054152
C14orf118|55668,0.002486449953374733
C14orf1|11161,0.0024060536991694454
C14orf4,0.002537204307992671
C14orf45|80127,0.008256823561735366
C14orf49,0.003592541046197377
C14orf64,0.00621530661345756
C14orf80,0.002121069586958387
C15orf40,0.0027193643909686916
C15orf40|123207,0.001804273305093097
C15orf48;MIR147B,0.010143898038450241
C15orf50,0.01298825238470629
C15orf61|145853,0.0021645555699947527
C16orf42|115939,0.0028784281743807535
C16orf53;PRRT2,0.002791140506445491
C16orf7,0.0026390923946033695
C16orf71|146562,0.017181399981475016
C17orf54,0.007493482393872684
C17orf62,0.0031887075684325777
C17orf67,0.0026958983833059555
C17orf67|339210,0.005215886365444943
C17orf77;CD300LD,0.006374614197800352
C17orf81,0.00277748056302605
C18orf1,0.003145655845609367
C18orf8|29919,0.0023637610802625417
C19orf53,0.0017585895048696052
C19orf57|79173,0.005261453093958457
C1QTNF7,0.013739242179659689
C1orf103|55791,0.0029658986444692746
C1orf216|127703,0.002417707003884902
C1orf92,0.006128291297643013
C20orf111|51526,0.0027112210825505664
C20orf141;LOC100288797,0.0023777579452853694
C20orf144;NECAB3,0.0029047781187351977
C20orf194,0.0016972365278675912
C20orf196,0.002558114872151561
C20orf4|25980,0.002835038251183151
C20orf54|113278,0.006353759810946158
C20orf71,0.012504833035643472
C21orf130,0.05550143367791538
C21orf29;KRTAP10-5,0.025968345429390045
C21orf67|84536,0.00237525119012416
C2orf16,0.007638109687707541
C2orf24|27013,0.0021983814112019875
C2orf55|343990,0.007797071209079437
C2orf64|493753,0.002823438391183938
C2orf66,0.005472409064804935
C2orf72,0.005573389667291305
C2orf79|391356,0.0022542256998377133
C2orf7|84279,0.0033223525767745177
C2orf80,0.003919249860359278
C2orf89,0.0031140231615557866
C3orf17,0.0027785265961767893
C3orf21,0.002251243139593739
C3orf34|84984,0.0035268422144389923
C3orf39|84892,0.0027198611954049753
C3orf42|84657,0.003168479771927962
C3orf47|339942,0.004880949356721079
C3orf49,0.004852935008309755
C3orf62|375341,0.0020796537059817543
C4A|720,0.0311312250140878
C4orf32|132720,0.011331117150589399
C4orf42;CTBP1,0.0031057283349586007
C4orf52,0.0016623626904846878
C4orf52|389203,0.0027954510436995093
C5orf25|375484,0.003367102952160155
C5orf33|133686,0.0027468575419595867
C5orf39|389289,0.005534299161297053
C5orf53|492311,0.003964161887084198
C5orf54|63920,0.002473506699402027
C6orf132|647024,0.004554643585449686
C6orf141,0.0028755701104746273
C6orf145|221749,0.006699602796077028
C6orf211|79624,0.015072780983139265
C6orf222,0.0042327508785692984
C6orf48|50854,0.0027130766474803684
C6orf64,0.0019084387054759489
C7orf10;C7orf11,0.00201837185799557
C7orf50;GPER,0.004305818693560562
C7orf55|154791,0.0029789699766637943
C7orf69;PKD1L1,0.01107698167214254
C8orf37,0.00247536982104992
C8orf39;RBM12B,0.0020854424562116256
C8orf42|157695,0.00297971899825198
C8orf55|51337,0.0023976211177536345
C8orf58;KIAA1967,0.0028050491417935084
C8orf76|84933,0.004624573370141728
C8orf84|157869,0.011364738529948615
C9orf153,0.002927159369671169
C9orf30|91283,0.0038830512215911276
C9orf3|84909,0.003147166150056351
C9orf4,0.00590107713113164
C9orf40,0.0023692892084046023
C9orf57,0.0097435911729397
C9orf66;DOCK8,0.005598934566326866
C9orf78;USP20,0.0028082776790161255
C9orf9,0.008341164251455122
CA5B,0.026268491159776478
CABYR,0.0024454555925231894
CACNA1I,0.003597088918368944
CACNA2D2|9254,0.026498020105000346
CALB2,0.0035361341925819623
CALCOCO1|57658,0.004470266829395038
CALM2|805,0.002826352442692275
CAMK1D|57118,0.004308209402834835
CAMKK1|84254,0.0036262705508538196
CAMKK2|10645,0.0027514139090990433
CAMSAP1L1,0.0015354669470359274
CAP1,0.002400879151339748
CAPN10,0.0034553443878182597
CAPN12|147968,0.0052667411191693395
CAPN1|823,0.002783326126334234
CAPN2|824,0.0032830944234237005
CAPN7,0.0029157303571451733
CAPRIN1|4076,0.001812013094770812
CAPRIN2,0.002730322461359837
CAPZA2|830,0.0022014484481972206
CARD10,0.00379345803301795
CARD16|114769,0.0033467533526270604
CARKD,0.0023420705335169766
CASC1,0.018426507554907913
CBWD2|150472,0.0022861099919504295
CC2D1A|54862,0.0027044342699112708
CC2D2B,0.006431693841015187
CCAR1,0.0026705020606969535
CCDC101|112869,0.00246126683985979
CCDC102B|79839,0.0028134306676273336
CCDC112|153733,0.0025542908674721023
CCDC12,0.0026588878336509672
CCDC132|55610,0.0027315090528671955
CCDC142,0.0029780305926977732
CCDC149,0.002527494640372721
CCDC22;CACNA1F,0.00354059972081719
CCDC34|91057,0.0036809157410257064
CCDC48,0.003933587301425176
CCDC61;MIR769,0.002225374487055865
CCDC64|92558,0.008597408553121268
CCDC70,0.004991760923866831
CCDC82;JRKL,0.0028068855800902005
CCDC82|79780,0.0051124525429732635
CCDC85A,0.0028109059700648503
CCDC9,0.0017871463964295384
CCDC93,0.003114141100880671
CCKAR,0.006135110894393944
CCNT1,0.0025078642455534884
CCR1|1230,0.0056385097939132675
CCRN4L,0.002984755971608956
CCT5|22948,0.004102861455374366
CCT6A|908,0.0032338991127375495
CD19,0.003906797562452013
CD24|100133941,0.008501776685003945
CD274,0.00409229191790714
CD276,0.0021584644546373895
CD2AP,0.002734819212866987
CD2AP|23607,0.0029543057820779917
CD72,0.002846371659772428
CDC123,0.05398905943095405
CDC123|8872,0.0026831231941689122
CDH11|1009,0.004029816181624945
CDH1|999,0.013403116175292967
CDK11A|728642,0.002532191212660001
CDK2AP1|8099,0.004320477723584532
CDK5RAP1|51654,0.002186453615544029
CDK5RAP3|80279,0.003224683813042943
CDKL4,0.00408247896689529
CDKN1B|1027,0.003458046795565252
CDR2|1039,0.0017317411617243886
CDYL|9425,0.0026822085854806697
CELSR1|9620,0.016715980592249397
CENPJ,0.0027369264030515984
CENPT,0.0030365287936919426
CEP120,0.0018873207050809642
CEP135|9662,0.0029715722030016936
CEP170|9859,0.0037379418831583466
CEP250|11190,0.0030252857693824635
CEP350,0.001785949534653644
CEPT1|10390,0.003572750381594676
CERK|64781,0.0029259672393676696
CHAT,0.01250185483748997
CHCHD10|400916,0.002570184188502594
CHCHD7|79145,0.0026735521979334743
CHD8;SNORD9,0.0018703897787574694
CHGA,0.005176907103188499
CHKB;CHKB-CPT1B;CPT1B,0.0023143277085616153
CHRNA4,0.008035088416704611
CHST12|55501,0.003410399286606259
CHST2|9435,0.0069609106720137995
CHTF8;HAS3,0.0041786312064706855
CIRBP|1153,0.006525073659675319
CIT|11113,0.010587137936883349
CLCA2,0.00353982012976984
CLDN25,0.008057309198618492
CLEC3B,0.004546814400558592
CLGN,0.0023760130537811303
CLIP1|6249,0.002293725384407318
CLSTN2|64084,0.040768079498510454
CLTC,0.002140790648797655
CMPK2|129607,0.006733273563639022
CNGB3,0.0134366258615064
CNN1|1264,0.01974414165948413
CNN3|1266,0.002710845300323823
CNOT2|4848,0.0024071731832813934
CNOT7;VPS37A,0.0032422365723115054
COASY,0.005481597505081298
COG1|9382,0.002024435032738265
COG4|25839,0.0035397363415959103
COMT|1312,0.002556062806452795
COPG2|26958,0.0018329987451148697
COPS6|10980,0.0027220684556907354
COPS7A|50813,0.002121004251873584
COQ7|10229,0.0028680865065878096
CORO1A;LOC606724,0.019774245945292875
CORO1B,0.0028256083193474225
COX16|51241,0.0021894327787638284
COX17,0.0021252170215673013
COX7A2L|9167,0.002433959439158917
CPA3,0.012149391125867586
CPEB2,0.0025181076291706512
CPNE1|8904,0.0025738909949956333
CPT1B|1375,0.003602681018268633
CREBBP|1387,0.001573275531294802
CREM,0.0024604539547242294
CRKL,0.002477038269714378
CRLF3|51379,0.0027412873773511506
CRLS1,0.002810571928156826
CROCCL1|84809,0.0037065038786159763
CRYAA,0.005486421150512099
CRYZ|1429,0.0036892589187055066
CSDA|8531,0.005244250067114242
CSDE1,0.0019325179331326596
CSK,0.002795096851482332
CSNK1A1L,0.007135143489926153
CSNK1D|1453,0.0023483975518179797
CSNK1G1,0.0017255433851798901
CSRP2|1466,0.007200024324573911
CTNNBIP1,0.0026793823833010703
CTNND1,0.007967919490283422
CTSA|5476,0.003118268409995451
CTSB|1508,0.003369746529609549
CTSL2,0.0022446002476524587
CTU2;RNF166,0.0021542308204266954
CTXN1,0.002113160984320044
CUL7,0.00274277143093614
CXCR4,0.0029030029469002167
CXCR4|7852,0.0021672346473154977
CXorf26|51260,0.0023222618470647343
CYB561D1|284613,0.0033291992864413686
CYB5D2,0.005430371940519218
CYB5R4|51167,0.002886014985274861
CYB5RL|606495,0.002832127099157982
CYBASC3|220002,0.0020379665438705822
CYP4F8,0.004939453340691758
CYP51A1|1595,0.002199289908887744
CYP8B1,0.004984540886352682
CYYR1|116159,0.009928478983471782
DACH1|1602,0.043515742546384274
DAPP1|27071,0.002935666472103247
DAZL,0.0031453612065191314
DBF4|10926,0.0061909979631260695
DCAF15,0.0020511053689987397
DCAF8L1,0.008360816084126067
DCP2|167227,0.0027304040790727202
DCT,0.026359971378922927
DCTD,0.0020332820563027784
DCTD|1635,0.002719531200532893
DDX20;C1orf183,0.002151272896356457
DDX3X,0.002744776869104737
DDX46|9879,0.0026012043898708185
DDX53,0.010588350837450935
DDX59|83479,0.002745355551723199
DEAF1|10522,0.003128948531637493
DECR2,0.0033520479523144325
DEF6,0.00772460269401168
DEFA6,0.014038788321572016
DEFB135,0.008950053251146492
DENND1A;MIR601,0.002342752905141142
DENND1C|79958,0.0022989255872592155
DENND3,0.0031557828491582157
DENND4B|9909,0.002516434978044587
DERL3,0.022542322638755236
DGCR9,0.010530744216854418
DGKA|1606,0.0051197906297965464
DGUOK,0.00645819721386184
DHDDS,0.002176513912779252
DHRS4|10901,0.0037021067371808647
DIAPH1|1729,0.002598015897870463
DIAPH2;RPA4,0.006078392597402467
DIO2|1734,0.009741733858427703
DIO3;MIR1247,0.010381010971877271
DIO3OS,0.01720372229141197
DIP2B,0.002144547070436309
DIP2B|57609,0.0023654779363709967
DIS3L2|129563,0.003142375766410502
DKFZp686O24166,0.003159506210445745
DLG1|1739,0.0029086831952539103
DLX1,0.006001136995935879
DLX6;DLX6AS,0.022871217664535808
DMXL1,0.002474761260864876
DNAJA2|10294,0.002532885989218067
DNAJB11|51726,0.0032282355515626075
DNAJB14,0.0018824102100000078
DNAJB8,0.0031645937093585427
DNAJC10|54431,0.0023199736898805614
DNAJC12|56521,0.03985185147777111
DNAJC13|23317,0.002773719776348384
DNAJC21|134218,0.0028721816548490436
DNAJC24|120526,0.0017731542280923602
DNAJC25|548645,0.002389462632566126
DNAJC6|9829,0.007194152753278507
DNAJC7,0.002707739975799802
DNAJC7|7266,0.0017844849142306946
DNASE1L1;RPL10,0.004556207000277611
DNM1L,0.002587078683574244
DNM1|1759,0.004281290796548187
DNMBP,0.002719114792294632
DOC2B,0.006140711377704073
DOCK1,0.002493921772041508
DOCK1;FAM196A,0.002544994556714875
DOCK2;FAM196B,0.0865462349395215
DOCK9,0.0029576281817441565
DOK3|79930,0.0028651350543731705
DOLPP1,0.0023265593350445223
DOT1L|84444,0.002123252175531975
DPAGT1|1798,0.0033120744856689963
DPEP1,0.005457074090110231
DPEP2|64174,0.004916287788036319
DPH1;OVCA2,0.0027080483803292267
DPPA3,0.0036998028528342198
DPY19L1,0.002723942412335215
DPY19L2,0.0057921303384315505
DPY19L3,0.0017069763925505927
DRAM1|55332,0.00354155763919675
DRG2|1819,0.0020797555705102558
DSCR3|10311,0.0022890530203598615
DSG2|1829,0.004027115412241014
DSN1|79980,0.005320475692268725
DSTN,0.0015725745429949135
DST|667,0.009254654636593791
DULLARD;C17orf81,0.001967460790272668
DUSP10|11221,0.0032193508488864556
DUSP14|11072,0.003324450061739296
DUSP7|1849,0.003295722618921271
DYNLRB1|83658,0.0029167654969209146
ECH1|1891,0.003926796238525955
EDC3,0.002504629230760878
EEF1DP3,0.0020744294048354443
EFCAB1,0.008217349835108582
EFHD2|79180,0.0028066046826877022
EFR3B|22979,0.004263583457460175
EIF2B1|1967,0.0024509868047677525
EIF3F|8665,0.002446525811026109
EIF3H|8667,0.0025264114763243377
EIF4A2|1974,0.0024332746892122632
ELF3|1999,0.004349958799027753
ELFN1|392617,0.004856878228919263
ELOVL4,0.009601263928284162
EMB|133418,0.003881908914021314
EML1|2009,0.002750278714933176
ENAH|55740,0.0032195534822152985
ENDOD1,0.002213705194507266
