features,features,shapley_values
0,USP27X|389856,0.0004824185469052565
1,"LOC401015,FAM133B|401015",0.00040828332358874126
2,PRO2852|114224,0.00018722156226931038
3,YEATS2|55689,0.0003972059197938438
4,EGFL8|80864,0.0003161928533832061
5,DLG4|1742,0.00036757250051864426
6,RORA|6095,0.0003749574049368738
7,EI24|9538,0.00035453750940525803
8,IPO9|55705,0.0005116953914466894
9,TNPO2|30000,0.0004945637671450563
10,TBRG4|9238,0.0002916535035959742
11,ARFIP1|27236,0.0003872221228912408
12,SENP2|59343,0.0003385875879796798
13,DAPK2|23604,0.00040623341123527797
14,UBE2R2|54926,0.00041628148075550735
15,NFIX|4784,0.00041870341170043273
16,GTPBP10|85865,0.00042611615703588667
17,USP48|84196,0.00030933474897578886
18,ZNF713|349075,0.0004481951206248303
19,"LOC441383,ZNF252|441383",0.0003816317636520314
20,LSM14B|149986,0.0004256678975990437
21,OTUB2|78990,0.00043851577685208505
22,OR8B8|26493,0.0002748919114781379
23,PSMD11|5717,0.00041347055301455167
24,MDN1|23195,0.0003543881671604967
25,MED18|54797,0.00036605086998201257
26,POR|5447,0.0004388422618624936
27,DPPA3|359787,0.000449584374321757
28,FAM54B|56181,0.0004630960654683644
29,C1orf56|54964,0.0003893177934464896
30,DLSTP|1744,0.0004530559897992364
31,WDR40A|25853,0.0005602809053974217
32,C9orf126|286205,0.00040347428472715333
33,PLA2G4E|123745,0.00041252213101980017
34,LOC730107|730107,0.0002816132551724976
35,RP13-122B23.3|25920,0.00040487346020806207
36,TIGD4|201798,0.00034766286062351337
37,KRTAP21-1|337977,0.00040316699491254053
38,HM13|81502,0.0002616288338409599
39,MT3|4504,0.0003858299026304778
40,LOC388789|388789,0.0005487798411215224
41,RSC1A1|6248,0.00037757346625397084
42,IRAK1BP1|134728,0.00021713891772142806
43,VTI1A|143187,0.0005577157303174156
44,SYCP2|10388,0.0005262806648873412
45,CBX1|10951,0.0004128226101768892
46,TYW3|127253,0.00040307317620657434
47,SMAD9|4093,0.00032757211623599374
48,SRF|6722,0.000490884023221112
49,C2orf24|27013,0.00039793933198955253
50,XPNPEP3|63929,0.000560541085054199
51,hCG_18290|644907,0.00031945749420097554
52,PITPNM1|9600,0.00033203923937654106
53,LOC645700|645700,0.00042216098064514894
54,ZNF337|26152,0.0004406644464327343
55,TMEM82|388595,0.00026981799748336413
56,NXF4|55999,0.0004994999004514259
57,LOC128977|128977,0.00047991082611393665
58,MCCC2|64087,0.0005995583548156931
59,SLC22A7|10864,0.0004126374291653264
60,ZNF408|79797,0.00031652347191634756
61,GOSR1|9527,0.00039678063090799176
62,WDR60|55112,0.00025645893255139834
63,NKTR|4820,0.000448260273262566
64,THOC4|10189,0.0004798315009671483
65,C14orf155|84075,0.000334977342235948
66,NDUFA10|4705,0.00040505693715982933
67,MRAS|22808,0.0005301513674360371
68,TOPORS|10210,0.0005419052688861478
69,PHF23|79142,0.000285376202581211
70,SNORA66|26782,0.0003843991201778859
71,C15orf45|641318,0.0002911837388453063
72,ANP32D|23519,0.0003340214594937087
73,COMMD6|170622,0.0004882664877274049
74,TRIM52|84851,0.00037876224848002696
75,TRIM8|81603,0.000534706163829967
76,INTS9|55756,0.0004955319696932821
77,LOC286109|286109,0.00042647215693220823
78,SIM2|6493,0.0002804440277827398
79,RAPGEF6|51735,0.000454379729457885
80,ZNF423|23090,0.0003452898649460416
81,BTF3|689,0.000568528610496964
82,PIK3C2G|5288,0.0003406358941094029
83,EIF6|3692,0.00030870575435069356
84,RPLP2|6181,0.00040869583296727495
85,RNF214|257160,0.00035451223921270533
86,RGL3|57139,0.0003927563370025376
87,MYST3|7994,0.0004161053514815396
88,AGPAT6|137964,0.0002861027459676617
89,ZSCAN23|222696,0.00039835491158732956
90,LOC90110|90110,0.0004572601380785082
91,TBC1D10C|374403,0.0003806617867473953
92,LOC286411|286411,0.00030840424738344345
93,VAPB|9217,0.00024334236678216499
94,RNPEP|6051,0.0005176500380764052
95,LOC340094|340094,0.00035012436011895966
96,APP|351,0.0003443464224422235
97,RNF7|9616,0.00034121984725712126
98,NFX1|4799,0.0003140687642842753
99,OSBP|5007,0.0002635173572646814
100,UBL5|59286,0.0003639582457061049
101,PPP6C|5537,0.000253745931718254
102,ZBTB9|221504,0.00028249579197264123
103,MRPL14|64928,0.0004061459940106566
104,DBN1|1627,0.0003365024206543662
105,HIST1H3F|8968,0.00028220874843022263
106,PHB|5245,0.0003671044667665162
107,FZD9|8326,0.0003188207954922009
108,LOC255275|255275,0.000502392787702978
109,SSR2|6746,0.0003905907183934374
110,LOC728540|728540,0.0003397792299822942
111,HRH4|59340,0.00023601672351049167
112,MON1B|22879,0.0004196033004200023
113,LOC92270|92270,0.00046848667952964517
114,C9orf127|51754,0.00033918235884452836
115,LOC388931|388931,0.0002350290190456876
116,TMEM34|55751,0.000440978287910478
117,SEPW1|6415,0.00031302147104291173
118,MFHAS1|9258,0.00030596966320938754
119,C10orf49|221044,0.0004033737926761278
120,SPZ1|84654,0.0003903824564074515
121,TBL1X|6907,0.0003553400981296062
122,TBK1|29110,0.0003128372476925237
123,ISLR2|57611,0.00041513933625151635
124,ECSIT|51295,0.0003664482087460132
125,INPP5B|3633,0.0004356442425714676
126,OR11L1|391189,0.00041196461896342046
127,RBP3|5949,0.0003794377131444552
128,HIGD2A|192286,0.0003834502560966607
129,RP11-144G6.7|399753,0.00035093191769583444
130,KCTD21|283219,0.0003138148677763018
131,NUDT4P1|440672,0.0003468270921186258
132,CLCN4|1183,0.00042012087834169924
133,DIABLO|56616,0.0003832734621230552
134,C20orf66|343629,0.0002609317233010871
135,FKBP3|2287,0.0003280704664642113
136,CREB1|1385,0.0004225417617821632
137,HIST1H4E|8367,0.0003579786161513162
138,THSD1P|374500,0.00032702212737912244
139,LOC728190|728190,0.0003101442756439282
140,ZBTB12|221527,0.0004041140338858323
141,CENPL|91687,0.0004971576125876616
142,ASB14|142686,0.0003985757121159068
143,GRAP|10750,0.0003607808403545006
144,RPS29|6235,0.00040787369441719747
145,FLRT1|23769,0.0005065197455085067
146,SIVA1|10572,0.0004381924131376617
147,OR10S1|219873,0.00042593506833400117
148,LOC728052|728052,0.0006271710331862622
149,RBM5|10181,0.0004213970681480918
150,ADAM17|6868,0.0003604159920559543
151,NOL9|79707,0.0004569522731596248
152,GPR27|2850,0.0004399738104303785
153,HDC|3067,0.0003972103706782323
154,LOC728215|728215,0.00034311968644602477
155,ERH|2079,0.0002880380546002166
156,MAGED4B|81557,0.0004070456082387996
157,GPC6|10082,0.0003807819799408323
158,PYGO2|90780,0.000497397388572815
159,TMEM164|84187,0.0003166570712180447
160,SBF2|81846,0.0005024236497927312
161,RUFY2|55680,0.0005212036523778172
162,MRPL17|63875,0.0004852679730853216
163,GADD45GIP1|90480,0.0005084935858398539
164,DYNC1H1|1778,0.0003724249996558211
165,BCAN|63827,0.000444191024505946
166,PTPRJ|5795,0.0005502212515342091
167,DVL3|1857,0.00038470389440485077
168,ZNF768|79724,0.00031156798964914096
169,ANAPC4|29945,0.0004557879174049234
170,OR6C65|403282,0.00031858757305895235
171,MRS2L|57380,0.0003383493255878542
172,TMEM147|10430,0.0003825500753335551
173,EXDL2|55218,0.0005525801307456594
174,THOC5|8563,0.0003086423874287339
175,SPIN2A|54466,0.0004601988947683311
176,ZNF532|55205,0.0003690777501194075
177,CDK3|1018,0.0002728659784211639
178,N-PAC|84656,0.0004064290351059686
179,ZFP64|55734,0.0004346324566762629
180,HCP5|10866,0.00042620303143195404
181,MFSD4|148808,0.0005160066314736515
182,LOC144678|144678,0.00041236279482333854
183,BIRC6|57448,0.0004245358760600307
184,ORMDL2|29095,0.00042782351675755865
185,LOC56854|56854,0.00039711691124162657
186,C12orf31|84298,0.00039889032292649755
187,TRAPPC3|27095,0.0003586119045229865
188,NPAL2|79815,0.0004926429877970275
189,BYSL|705,0.00045082136151247643
190,SLC12A8|84561,0.00039266891974920235
191,"LOC653299,BACH2|653299",0.0002302321878990743
192,DDX58|23586,0.00023512070246098973
193,GLB1|2720,0.0003275037752361408
194,MNT|4335,0.00028609863204416433
195,OAZ2|4947,0.0004817281656923341
196,ZSWIM4|65249,0.00035397748511143605
197,LOC202134|202134,0.0003119912837646395
198,CBX8|57332,0.0002937260917168691
199,RAPGEFL1|51195,0.00045998615454103406
200,TMED9|54732,0.00035968079276093364
201,HEBP2|23593,0.0004537894369850613
202,C19orf61|56006,0.0005993096983172826
203,RTN4RL2|349667,0.00029499883624708523
204,HSPBP1|23640,0.0002781903058575859
205,C3orf37|56941,0.0004230741872648945
206,LOC390791|390791,0.0003733980332751707
207,PGM5|5239,0.00042039725040378796
208,LOC401324|401324,0.0005575225215964602
209,WDR77|79084,0.00039636190263168
210,LDB1|8861,0.00035886959479034203
211,DSCR3|10311,0.0002723525757272366
212,C1orf177|163747,0.00022629839764146914
213,PARS2|25973,0.00038380341254638133
214,TESK1|7016,0.00032313948500764923
215,KLF3|51274,0.0006257322028113123
216,NPTX2|4885,0.0003215180161537484
217,FLJ13137|400793,0.00040483749944370754
218,TTLL4|9654,0.0003383930504247021
219,C22orf24|25775,0.00036649947535334127
220,TMEM71|137835,0.00036847639645475733
221,LRRN1|57633,0.00029196954928099086
222,ALDH4A1|8659,0.000399526240154074
223,MYL2|4633,0.0004235639395450576
224,NCK2|8440,0.0004735475647941029
225,PTCD1|26024,0.0005207851620611934
226,MEGF8|1954,0.0004792742981075235
227,PUS3|83480,0.0003776549060299166
228,NOLA3|55505,0.0004482648488844046
229,ZNF470|388566,0.00028799732677663777
230,NRF1|4899,0.00047969101203750725
231,DNAJC7|7266,0.000515383205831946
232,ENTPD8|377841,0.0003880304358586442
233,ZNF584|201514,0.00040215692805650597
234,TFCP2L1|29842,0.0004233055263703894
235,C9orf7|11094,0.0004661507175326207
236,DENR|8562,0.0005229625785827249
237,TRIM64|120146,0.0003967575055548796
238,DKFZP547L112|81787,0.00035669269546792384
239,MAPK8IP3|23162,0.000590485593729032
240,CEP110|11064,0.0003564984589552993
241,C12orf44|60673,0.00031169244357694397
242,HCG27|253018,0.0004220417123931986
243,CLTC|1213,0.00028158433139504246
244,DEFA5|1670,0.0004769113662622109
245,WIPI2|26100,0.000366679183047452
246,CD207|50489,0.00031249612481855707
247,COMTD1|118881,0.0004030766043650315
248,IL19|29949,0.00039136191054649585
249,KIR3DL1|3811,0.00030535331641410224
250,FOXD4L4|349334,0.00033093643690224744
251,RNF138P1|379013,0.000299557259365052
252,LOC284513|284513,0.00031034660680608615
253,API5|8539,0.0004011423896619203
254,WNK2|65268,0.00042717263108361665
255,C11orf35|256329,0.0004917802121653578
256,PKD2|5311,0.0003237666322571806
257,ADAMTSL2|9719,0.0003457636120413298
258,"CCDC13,HIGD1A|152206",0.00032692954867303376
259,CANT1|124583,0.0002857264379146493
260,LOC642361|642361,0.00024447906705485497
261,SLC13A1|6561,0.000301098192023497
262,RYR2|6262,0.0004881585939450991
263,VWA3B|200403,0.0004981151489495351
264,ETV7|51513,0.00048350055190305536
265,SHMT1|6470,0.000490157665584725
266,COPG2|26958,0.00029288251124364123
267,ILF2|3608,0.0003700178917680947
268,SPAG1|6674,0.00029365322942805604
269,MGC21881|389741,0.00031695832919053323
270,TXNDC12|51060,0.00047423308843011936
271,MUC2|4583,0.00035065740071867004
272,F12|2161,0.00044033725882667386
273,FAM116A|201627,0.0004327744817811459
274,SMCR7L|54471,0.00045315767494742926
275,SPIN3|169981,0.00035504405797223443
276,SFRS2|6427,0.0003780539286920798
277,LOC729198|729198,0.0003555451616645798
278,FAM32A|26017,0.0003416146232491437
279,SPANXE|171489,0.00030359735775917126
280,SLC7A6OS|84138,0.00030287021087458993
281,LOC150739|150739,0.0003761800445045796
282,WAS|7454,0.0002727223583573208
283,PDGFD|80310,0.0004431208264701412
284,FAM89A|375061,0.00048243779088081744
285,MIA3|375056,0.0003539505541965308
286,GPR85|54329,0.00025074990438153893
287,CENTB5|116983,0.000444795670534089
288,DKFZP434K028|26070,0.0004680998636360355
289,TRBV3-1|28619,0.00033321659429879616
290,COL5A1|1289,0.0002470941227001699
291,ZNF662|389114,0.00037539895747386906
292,TSPAN33|340348,0.00027125936139582563
293,CYP2R1|120227,0.0004078897146018933
294,KIAA0649|9858,0.000301870400538509
295,TLR5|7100,0.00039859379569526216
296,HPS3|84343,0.00032626340813183245
297,PREP|5550,0.0003878866836310007
298,C9orf32|28989,0.00041167385842011563
299,ZNF668|79759,0.0004318776800431441
300,LMNB1|4001,0.00039098551883895395
301,MUC5AC|4586,0.0004248260288693342
302,MMP14|4323,0.00036813622150602704
303,LOC338579|338579,0.0004272568103409819
304,PFN3|345456,0.0003821411551058493
305,MED8|112950,0.0005311006744491407
306,LOC387761|387761,0.00042062952060618924
307,SET|6418,0.0003569640944751012
308,NTAN1|123803,0.00041903910631057884
309,LGALS2|3957,0.0005886031404674689
310,LCE1E|353135,0.0003915263767070448
311,KCNA3|3738,0.0005567669821463369
312,WIZ|58525,0.00038320292885301796
313,C10orf18|54906,0.0004031993714987544
314,SPRED2|200734,0.00017611369434707125
315,DGCR5|26220,0.0003644502905163653
316,FAM83D|81610,0.00037346168520884264
317,hCG_2041321|391124,0.00048087411309263536
318,ZNF467|168544,0.0006034366089704693
319,ORC2L|4999,0.0005340110515131818
320,PCCA|5095,0.0003761219578079701
321,KIAA1975|119385,0.00031695589793254955
322,SLC26A5|375611,0.00035534793960048715
323,OCLM|10896,0.000449322847537733
324,LCE3C|353144,0.0004360322620770307
325,NOB1|28987,0.00031158172391894607
326,ATP5G2|517,0.00034131201101104166
327,SPCS3|60559,0.0004393787714920477
328,IRAK1|3654,0.0003332210466808458
329,COG7|91949,0.00036889018546173194
330,CD180|4064,0.0002877363312613425
331,STIM2|57620,0.0003826862441239407
332,CSNK2A1P|283106,0.0003362449528771953
333,RAB35|11021,0.00040789952383786944
334,RHBDL3|162494,0.0003269728447788899
335,RNF169|254225,0.00042572521292422866
336,SNORD54|26795,0.00037286339726788127
337,TRH|7200,0.0003417872663327274
338,CACNG7|59284,0.0004454570731929722
339,MRPL44|65080,0.0004678807659225417
340,FNBP1|23048,0.0004735104685493356
341,RFC1|5981,0.00041796997396333915
342,KLF7|8609,0.0005144073192277147
343,BAD|572,0.00040777625263795363
344,ATAD3C|219293,0.0004033923856363357
345,LPP|4026,0.00033995124642435804
346,SPATC1|375686,0.00019962952162672483
347,EHMT1|79813,0.00035577796165486093
348,KCNAB2|8514,0.0004768317353109399
349,GLI2|2736,0.00042536498313050795
350,SERTAD3|29946,0.00027865514512587995
351,IL17RE|132014,0.0004313653878411588
352,LCE3A|353142,0.0003378579889014917
353,ADAMTS12|81792,0.00032077555471863705
354,SPIN4|139886,0.0003433564667609774
355,FOLR3|2352,0.0005722965742646468
356,PABPC5|140886,0.00048304576382703123
357,INCA|440068,0.0006471557487835752
358,PC|5091,0.000351647226700354
359,WNT3|7473,0.0003328057337878149
360,DOK6|220164,0.00023504655138021832
361,GLUL|2752,0.0003170304753610175
362,IL17RD|54756,0.0003249580818363202
363,DMRTA2|63950,0.00028543325470789993
364,ANKRD19|138649,0.00036168237951106905
365,C20orf94|128710,0.00048619637561552614
366,BCDIN3D|144233,0.0003478175414471908
367,ANKRD1|27063,0.0002809958962560577
368,GNG2|54331,0.0003984141905476077
369,DENND4C|55667,0.00030770328412363845
370,EPHA2|1969,0.00030237037818146135
371,LOC285000|285000,0.00038926145867215853
372,UBTD1|80019,0.00034893359957668236
373,DDX23|9416,0.0003301619246244719
374,HIST1H2BA|255626,0.00035143593132117647
375,SNRPA|6626,0.0003596263886373338
376,MALAT1|378938,0.00034741116726428993
377,PIP5K3|200576,0.0005395640113555007
378,GRIN1|2902,0.0004569293171241321
379,TRIM13|10206,0.0003308134778365155
380,FAM128A|653784,0.00024070566275217613
381,VSTM2L|128434,0.000273546527558531
382,LOC646378|646378,0.0004983136123022226
383,NUBP2|10101,0.00034030165641534986
384,PGAM1|5223,0.0003273397176797915
385,ETS1|2113,0.0006065496451165594
386,MTHFR|4524,0.0004310288044741924
387,S100A6|6277,0.0004609208190021085
388,LOC619207|619207,0.0002857157245830085
389,TEAD1|7003,0.00037834502834660033
390,FAM98B|283742,0.00023088117268283564
391,LOC440295|440295,0.0004527127793934225
392,PARVB|29780,0.0002795978424592031
393,PCDHB9|56127,0.0003031710446410559
394,AKR1B10|57016,0.000402378126739016
395,SBK1|388228,0.00038092983272418676
396,ZNF563|147837,0.0003512361716147449
397,SESN1|27244,0.00029939451480117237
398,TRIM26|7726,0.0004461660604484368
399,CCNK|8812,0.0005524817414163126
400,PXMP2|5827,0.0004782888892411397
401,NEIL3|55247,0.0004806247741049425
402,CER1|9350,0.0005086930590469791
403,LOC284964|284964,0.00033979240472833803
404,UTX|7403,0.0003444633611447307
405,RNF4|6047,0.00044191399029812583
406,KCNK5|8645,0.0005778238661524679
407,BCL7B|9275,0.00042368672970696634
408,INSIG2|51141,0.00034399629517591426
409,DPM2|8818,0.00041469273571151323
410,LOC338651|338651,0.00028405536217222826
411,NT5C3|51251,0.00035552546564845413
412,PROX2|283571,0.0003240073382986305
413,KHDC1|80759,0.000364728593690488
414,LOC728064|728064,0.000317408021446909
415,METTL3|56339,0.0003534910164120482
416,C18orf50|619463,0.0003865906300672218
417,LOC728511|728511,0.00030762310948290677
418,SSH2|85464,0.0003512256422705263
419,ZFAT1|57623,0.0004117282567336663
420,LOC645030|645030,0.00035075657315619007
421,USP12|219333,0.0004595937919632387
422,C19orf56|51398,0.0004288124158732947
423,MGC50559|254013,0.00035218074376568284
424,RPS28|6234,0.0004044221005398142
425,PITPNM2|57605,0.00041370846192946803
426,FNTA|2339,0.0004646800174337414
427,CRIP3|401262,0.00025903582930504056
428,ZNHIT2|741,0.00041448005456535376
429,SEC61B|10952,0.00020846465141407606
430,C20orf175|140876,0.00032726279173416405
431,NAB2|4665,0.00048215320525948907
432,KHDRBS3|10656,0.000404053271579406
433,RHOBTB2|23221,0.0003559770566082905
434,CHST10|9486,0.00031917116811872677
435,MAK10|60560,0.000414422427845231
436,NR2C1|7181,0.0005098193565552033
437,TGIF2LY|90655,0.00044599288588876044
438,PABPN1|8106,0.0004309089846918179
439,NKAIN4|128414,0.0006495401761403236
440,GPT|2875,0.00045344396103402156
441,MAK|4117,0.0003394584576115196
442,KIAA1143|57456,0.0003967725029891419
443,SNX19|399979,0.00044220441047716286
444,ACTN1|87,0.0002947090761190184
445,C20orf117|140710,0.00041469930034626254
446,ABCG1|9619,0.0003889173209733273
447,CDK5R1|8851,0.0003820218611994057
448,LOC646982|646982,0.00042804102695073346
449,CITED1|4435,0.00039598308380692075
450,IKBKB|3551,0.0005946013854517989
451,TGFB1|7040,0.0003753915145473188
452,KLHL25|64410,0.0004994692078534573
453,RNF19B|127544,0.00032345320427311667
454,RDH16|8608,0.0004950646745566265
455,C1orf109|54955,0.0002782058772723638
456,CSNK1A1L|122011,0.0004059145930694844
457,LOC401463|401463,0.0004029425034046473
458,NGFR|4804,0.0004324787040284622
459,EZH2|2146,0.0003743971295345769
460,LRIG2|9860,0.0003214978103356673
461,SLC25A31|83447,0.0005091728582370858
462,LOC442210|442210,0.00045133565315228934
463,UGT2A1|10941,0.00035319401811878895
464,AIM2|9447,0.00039006305935077935
465,LRRC31|79782,0.00029890045275788197
466,TRA2A|29896,0.0004819179762569675
467,LRRC19|64922,0.00028225066378982243
468,RNF185|91445,0.00039083963374847875
469,ANKRD55|79722,0.0003709452773179281
470,TSPAN19|144448,0.00042551971204104555
471,RP11-145E5.4|100048912,0.0005450330172905226
472,APTX|54840,0.0003338259471101048
473,PMS2L2|5380,0.00036497517269383777
474,ATG9A|79065,0.0005070116602571917
475,NR1I3|9970,0.0005816681463435234
476,C17orf46|124783,0.0005341500960800237
477,LL22NC03-75B3.6|85352,0.00028875089556597197
478,MAML3|55534,0.0003435707058223093
479,TK1|7083,0.0005172714581867857
480,EIF2B2|8892,0.00032834802683919754
481,PVRIG|79037,0.00039460718680330665
482,KRBA2|124751,0.0003729998398698701
483,GLYCAM1|644076,0.00032007193783425953
484,MINA|84864,0.0003379393109809116
485,SMC1B|27127,0.00033294138160269883
486,LOC389901|389901,0.0002554098685169429
487,OPHN1|4983,0.00040981267561209433
488,NEK6|10783,0.0003267174078993375
489,GARNL1|253959,0.0003096349379483618
490,TRAF4|9618,0.0005054023348284226
491,GMPPB|29925,0.0003749703321259663
492,"SNORA59A,VPS13D|677885",0.000412810143827569
493,OPRL1|4987,0.00036924419809552774
494,LOC441108|441108,0.0004890719467533039
495,ACTRT2|140625,0.00031292531141174657
496,FLJ23356|84197,0.0005201783455398447
497,LOC728953|728953,0.00046910869972758467
498,RPL39L|116832,0.0004834547162079568
499,ATF6|22926,0.0002550041944577548
500,LOC389257|389257,0.00031948945533510334
501,AHCY|191,0.00035993446728399195
502,ARL6IP2|64225,0.0005951886420362374
503,H3F3B|3021,0.00025501425532010785
504,DPYSL2|1808,0.0003157463341363128
505,CBR4|84869,0.0004011941450659679
506,LOC642924|642924,0.00032712091638041857
507,UCP3|7352,0.000475996064762128
508,TMEM60|85025,0.0004053677229882147
509,SLC1A4|6509,0.0003360255589897627
510,"LOC51039,DMN|51039",0.0005231020121522922
511,RASL10B|91608,0.000328371471154834
512,CCM2|83605,0.000345196687323683
513,RASSF5|83593,0.00036341770220655147
514,BMI1|648,0.0005242324393517074
515,SARS|6301,0.00043869045017421544
516,SOX3|6658,0.0004011280445504477
517,KIF5A|3798,0.000444962456685844
518,RWDD3|25950,0.00047740911673624766
519,EBNA1BP2|10969,0.00033620757311997524
520,PTHLH|5744,0.0004166931880550966
521,EPYC|1833,0.000304492697998651
522,KLRC4|8302,0.0006362222157603036
523,ZNF592|9640,0.00031526766514827884
524,ZCCHC5|203430,0.00035090324617139583
525,MAZ|4150,0.0004518567658534072
526,REXO4|57109,0.00033616197887602404
527,METRN|79006,0.00036590638790112966
528,ARPC4|10093,0.0005435490891726913
529,ALG6|29929,0.0002984846879373152
530,KRTDAP|388533,0.00040773488062784927
531,FBXL10|84678,0.00040000737468964153
532,KIAA1704|55425,0.0002961787509047477
533,ZIC5|85416,0.0003056517632088309
534,PMM1|5372,0.0003789542105991359
535,WNK1|65125,0.00025638137097030067
536,HSD11B1L|374875,0.00031285816785264656
537,ZNF391|346157,0.0004167332422331534
538,TRAF3IP3|80342,0.00030178384331257723
539,KCNA5|3741,0.0004551228226285428
540,LCE3E|353145,0.00046853380679935295
541,LOC400960|400960,0.00032783276601018705
542,NUCKS1|64710,0.0004976605086719917
543,NODAL|4838,0.0005384885554578271
544,LOC729451|729451,0.0004281704920912488
545,SERINC2|347735,0.00044451357699240183
546,NPSR1|387129,0.00045304788120485224
547,MAGI3|260425,0.0003805230272314365
548,TRBV5-4|28611,0.0003894978063156567
549,KCNK12|56660,0.00034964490102400224
550,SCN1A|6323,0.0004886453740061559
551,LOC56755|56755,0.0003834667994416799
552,POLH|5429,0.00018622043100418196
553,SLC9A3R1|9368,0.0003106287548075347
554,SSTR5|6755,0.00036935878898529536
555,SFRS16|11129,0.0004004788706654755
556,ZNF174|7727,0.00032713528196826497
557,ZKSCAN2|342357,0.0005104266041533292
558,SETD8|387893,0.00029113857358227925
559,C9orf66|157983,0.000478474850727382
560,ABCA10|10349,0.0002824429571092753
561,MDM4|4194,0.0006351918924850003
562,KRTAP6-2|337967,0.00034179538544681134
563,OR52D1|390066,0.0003545889797293093
564,MGAT5|4249,0.0005495129782842384
565,P4HB|5034,0.0003440027618770619
566,PHF20L1|51105,0.0003074100915750061
567,S100G|795,0.0004677856118452326
568,CSDC2|27254,0.0002657217059638488
569,BRWD2|55717,0.00036324230615258966
570,MAGEB3|4114,0.0004466293888654713
571,XRN2|22803,0.0005231962139500327
572,TM9SF1|10548,0.00047156620513503583
573,GOLT1B|51026,0.0005816055406690215
574,ZNF124|7678,0.0004126344147771051
575,RASGRP4|115727,0.00032403928664027367
576,USH1G|124590,0.00041759573818292363
577,MARS2|92935,0.0004022056409915625
578,URP2|83706,0.0005001971719435409
579,CCNL1|57018,0.0004060267894605786
580,TBC1D3|84218,0.00040879387928763593
581,IQSEC1|9922,0.0004168338865159854
582,GRHL1|29841,0.0003985714197127098
583,VCY1B|353513,0.0005725943911531646
584,TAS2R45|259291,0.00025587175377747546
585,CCDC127|133957,0.0004058283137580932
586,LARP5|23185,0.0003872699649900541
587,DIRC1|116093,0.0004783357445852728
588,C18orf19|125228,0.0002681697108697761
589,"LOC646590,MEG8|646590",0.000368189950441872
590,PRMT2|3275,0.0002608458251708619
591,ITGA4|3676,0.0004543008968492624
592,UNQ6411|401027,0.0003179419748096606
593,RPS13|6207,0.00043879155484487735
594,RGL1|23179,0.00037159372949985666
